manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed
BMW,M2,automatic,blue,40449,2017,gasoline,FALSE,gasoline,3,coupe,FALSE,owned,rear,"39,900.00",TRUE,Минская обл.,21,78,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100
Mazda,6,automatic,grey,38700,2017,gasoline,FALSE,gasoline,2.5,sedan,FALSE,owned,front,"27,600.00",FALSE,Минская обл.,20,12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37
Audi,Q7,automatic,brown,130000,2010,diesel,FALSE,diesel,3,suv,FALSE,owned,all,"24,899.00",FALSE,Гомельская обл.,14,40,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,233
Porsche,Cayenne,automatic,blue,102000,2008,gasoline,FALSE,gasoline,4.8,suv,FALSE,owned,front,"21,800.00",FALSE,Минская обл.,7,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,63
Infiniti,JX,automatic,other,99000,2012,gasoline,FALSE,gasoline,3.5,suv,FALSE,owned,all,"20,900.00",FALSE,Минская обл.,9,14,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,225
BMW,635,automatic,blue,175000,2009,diesel,FALSE,diesel,3,coupe,FALSE,owned,rear,"19,000.00",FALSE,Минская обл.,7,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16
Mercedes-Benz,GLK220,automatic,black,240000,2011,diesel,FALSE,diesel,2.2,suv,FALSE,owned,all,"15,950.00",FALSE,Гомельская обл.,8,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61
Toyota,Avensis,automatic,white,161500,2011,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,"13,250.00",FALSE,Минская обл.,10,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,73
Citroen,C4 Grand Picasso,mechanical,red,146720,2015,diesel,FALSE,diesel,1.6,minivan,FALSE,owned,front,"13,200.00",TRUE,Витебская обл.,19,24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,32
Nissan,Juke,automatic,grey,61000,2014,gasoline,FALSE,gasoline,1.6,suv,FALSE,owned,front,"12,990.00",FALSE,Минская обл.,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,195
Peugeot,Boxer,mechanical,white,440351,2013,diesel,FALSE,diesel,2.2,minibus,FALSE,owned,front,"12,900.00",FALSE,Минская обл.,6,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
